iter	Passed	Remaining
0	3	3836
1	5	2954
2	7	2646
3	9	2423
4	22	4462
5	28	4736
6	32	4561
7	35	4461
8	40	4495
9	42	4198
10	50	4533
11	52	4296
12	53	4090
13	56	3956
14	57	3800
15	59	3651
16	61	3567
17	64	3533
18	66	3452
19	68	3367
20	70	3296
21	72	3224
22	76	3259
23	79	3251
24	81	3193
25	83	3129
26	85	3071
27	87	3023
28	88	2979
29	90	2934
30	92	2900
31	94	2867
32	96	2837
33	99	2816
34	101	2789
35	103	2769
36	105	2740
37	106	2708
38	110	2713
39	113	2724
40	115	2691
41	116	2664
42	118	2640
43	120	2608
44	121	2577
45	125	2596
46	126	2569
47	129	2571
48	131	2548
49	133	2536
50	135	2517
51	136	2496
52	138	2483
53	141	2482
54	143	2471
55	146	2461
56	147	2441
57	150	2438
58	153	2452
59	155	2432
60	157	2423
61	160	2431
62	162	2419
63	164	2404
64	167	2405
65	169	2393
66	173	2419
67	175	2407
68	177	2389
69	178	2374
70	180	2361
71	182	2353
72	183	2334
73	186	2333
74	188	2323
75	190	2310
76	191	2295
77	193	2286
78	194	2271
79	196	2265
80	199	2263
81	202	2272
82	204	2263
83	206	2254
84	209	2259
85	211	2245
86	212	2231
87	214	2226
88	216	2217
89	218	2206
90	221	2209
91	224	2212
92	225	2202
93	228	2201
94	230	2192
95	231	2181
96	233	2173
97	243	2240
98	246	2240
99	257	2313
100	268	2393
101	279	2464
102	291	2542
103	295	2543
104	301	2571
105	307	2594
106	315	2632
107	322	2662
108	335	2739
109	347	2813
110	356	2856
111	363	2885
112	374	2938
113	390	3037
114	394	3032
115	403	3076
116	405	3061
117	419	3134
118	426	3156
119	432	3173
120	434	3157
121	438	3158
122	474	3386
123	476	3367
124	478	3349
125	480	3331
126	482	3315
127	483	3297
128	485	3278
129	487	3260
130	488	3242
131	490	3227
132	492	3210
133	494	3194
134	496	3178
135	499	3170
136	500	3154
137	502	3141
138	504	3127
139	507	3118
140	510	3108
141	511	3092
142	513	3078
143	516	3068
144	517	3054
145	519	3039
146	521	3024
147	522	3010
148	524	2997
149	527	2986
150	528	2973
151	530	2960
152	533	2953
153	535	2941
154	537	2928
155	538	2915
156	540	2903
157	542	2893
158	544	2880
159	546	2868
160	548	2857
161	550	2847
162	552	2835
163	554	2828
164	556	2816
165	558	2805
166	560	2794
167	562	2783
168	564	2777
169	566	2767
170	568	2756
171	570	2744
172	571	2733
173	573	2722
174	575	2711
175	577	2704
176	579	2694
177	582	2688
178	583	2678
179	585	2667
180	587	2656
181	588	2647
182	590	2636
183	593	2631
184	594	2621
185	596	2611
186	599	2605
187	601	2596
188	602	2586
189	604	2576
190	606	2570
191	608	2561
192	610	2552
193	612	2546
194	614	2537
195	616	2529
196	618	2520
197	620	2512
198	622	2505
199	624	2496
200	625	2487
201	627	2478
202	629	2470
203	630	2461
204	632	2452
205	634	2446
206	636	2438
207	638	2429
208	640	2424
209	642	2416
210	644	2411
211	646	2404
212	648	2396
213	650	2388
214	651	2380
215	653	2372
216	655	2365
217	657	2359
218	660	2354
219	663	2350
220	665	2346
221	668	2342
222	671	2338
223	675	2338
224	681	2348
225	685	2346
226	727	2477
227	730	2473
228	742	2499
229	744	2492
230	747	2487
231	757	2506
232	762	2510
233	772	2530
234	783	2551
235	790	2557
236	796	2565
237	806	2582
238	810	2581
239	812	2573
240	815	2568
241	817	2560
242	819	2553
243	823	2550
244	824	2542
245	827	2535
246	828	2525
247	830	2517
248	833	2514
249	835	2506
250	838	2502
251	841	2496
252	843	2490
253	845	2482
254	847	2475
255	850	2472
256	855	2473
257	859	2471
258	861	2463
259	863	2457
260	870	2463
261	872	2457
262	873	2447
263	874	2438
264	876	2430
265	878	2424
266	880	2417
267	882	2411
268	886	2409
269	889	2404
270	891	2398
271	894	2393
272	896	2386
273	899	2384
274	904	2383
275	905	2376
276	910	2375
277	912	2370
278	914	2364
279	917	2358
280	919	2352
281	921	2345
282	922	2338
283	924	2330
284	926	2324
285	928	2318
286	930	2312
287	933	2308
288	934	2300
289	936	2292
290	938	2286
291	940	2279
292	941	2272
293	943	2265
294	945	2260
295	948	2256
296	953	2256
297	956	2252
298	959	2250
299	970	2264
300	978	2272
301	983	2274
302	987	2272
303	993	2274
304	999	2276
305	1001	2271
306	1005	2269
307	1007	2263
308	1009	2257
309	1010	2250
310	1012	2243
311	1016	2240
312	1017	2233
313	1021	2230
314	1022	2224
315	1024	2217
316	1026	2211
317	1028	2205
318	1032	2205
319	1035	2200
320	1038	2196
321	1041	2193
322	1045	2190
323	1048	2188
324	1052	2186
325	1056	2183
326	1059	2180
327	1067	2186
328	1070	2182
329	1071	2175
330	1073	2170
331	1075	2163
332	1077	2157
333	1079	2153
334	1082	2148
335	1084	2142
336	1088	2141
337	1090	2136
338	1095	2136
339	1099	2134
340	1103	2132
341	1105	2126
342	1113	2132
343	1115	2126
344	1120	2127
345	1123	2122
346	1128	2123
347	1130	2118
348	1136	2119
349	1141	2119
350	1144	2115
351	1149	2116
352	1152	2112
353	1155	2109
354	1157	2103
355	1159	2096
356	1160	2090
357	1162	2084
358	1164	2079
359	1166	2073
360	1167	2066
361	1169	2060
362	1171	2055
363	1172	2049
364	1174	2043
365	1176	2037
366	1178	2032
367	1180	2026
368	1181	2020
369	1183	2014
370	1185	2009
371	1186	2003
372	1188	1997
373	1190	1992
374	1191	1986
375	1193	1981
376	1195	1975
377	1197	1970
378	1199	1964
379	1200	1958
380	1202	1952
381	1203	1947
382	1205	1941
383	1206	1936
384	1208	1930
385	1210	1925
386	1211	1919
387	1213	1913
388	1214	1907
389	1216	1902
390	1217	1896
391	1219	1890
392	1220	1885
393	1222	1879
394	1223	1874
395	1226	1870
396	1228	1865
397	1232	1864
398	1235	1861
399	1244	1866
400	1246	1861
401	1248	1857
402	1253	1856
403	1255	1852
404	1258	1849
405	1263	1847
406	1264	1843
407	1266	1837
408	1269	1834
409	1274	1833
410	1275	1828
411	1278	1824
412	1279	1818
413	1281	1813
414	1283	1808
415	1284	1803
416	1286	1798
417	1290	1796
418	1292	1791
419	1293	1786
420	1295	1782
421	1297	1777
422	1299	1772
423	1300	1767
424	1302	1762
425	1305	1759
426	1307	1754
427	1308	1749
428	1310	1744
429	1312	1739
430	1313	1734
431	1315	1729
432	1316	1724
433	1318	1719
434	1321	1716
435	1323	1711
436	1324	1707
437	1327	1702
438	1328	1698
439	1330	1693
440	1332	1688
441	1333	1683
442	1335	1678
443	1336	1674
444	1338	1669
445	1340	1664
446	1341	1660
447	1344	1656
448	1345	1651
449	1348	1647
450	1350	1643
451	1351	1639
452	1353	1634
453	1355	1630
454	1357	1626
455	1359	1622
456	1361	1617
457	1363	1613
458	1365	1609
459	1367	1604
460	1369	1600
461	1371	1596
462	1373	1593
463	1375	1588
464	1376	1584
465	1378	1579
466	1380	1575
467	1381	1570
468	1383	1566
469	1385	1561
470	1386	1557
471	1388	1552
472	1389	1548
473	1391	1543
474	1392	1538
475	1393	1534
476	1395	1529
477	1396	1525
478	1397	1520
479	1400	1517
480	1401	1512
481	1403	1507
482	1404	1503
483	1405	1498
484	1406	1493
485	1408	1489
486	1409	1484
487	1410	1480
488	1412	1475
489	1413	1470
490	1414	1466
491	1415	1462
492	1417	1457
493	1418	1453
494	1420	1448
495	1421	1444
496	1422	1439
497	1423	1435
498	1424	1430
499	1426	1426
500	1427	1421
501	1428	1417
502	1430	1413
503	1431	1408
504	1432	1404
505	1434	1400
506	1435	1395
507	1436	1391
508	1438	1387
509	1440	1383
510	1441	1379
511	1442	1375
512	1444	1371
513	1445	1366
514	1446	1362
515	1448	1358
516	1449	1354
517	1450	1349
518	1451	1345
519	1453	1341
520	1455	1337
521	1456	1333
522	1457	1329
523	1459	1325
524	1460	1321
525	1461	1317
526	1463	1313
527	1465	1309
528	1466	1305
529	1467	1301
530	1468	1297
531	1470	1293
532	1471	1289
533	1472	1285
534	1474	1281
535	1475	1277
536	1477	1273
537	1478	1269
538	1479	1265
539	1481	1261
540	1482	1257
541	1484	1254
542	1486	1251
543	1488	1247
544	1490	1244
545	1491	1240
546	1493	1236
547	1494	1232
548	1496	1229
549	1497	1225
550	1499	1221
551	1500	1217
552	1503	1215
553	1504	1211
554	1505	1207
555	1507	1203
556	1508	1199
557	1510	1196
558	1511	1192
559	1513	1189
560	1514	1185
561	1516	1181
562	1518	1178
563	1520	1175
564	1521	1171
565	1522	1167
566	1523	1163
567	1525	1160
568	1526	1156
569	1529	1153
570	1530	1150
571	1532	1146
572	1533	1142
573	1535	1139
574	1536	1135
575	1538	1132
576	1539	1128
577	1541	1125
578	1544	1122
579	1546	1119
580	1547	1116
581	1549	1112
582	1550	1109
583	1552	1105
584	1553	1102
585	1554	1098
586	1556	1094
587	1557	1091
588	1560	1088
589	1561	1085
590	1563	1081
591	1564	1078
592	1566	1074
593	1567	1071
594	1568	1067
595	1569	1064
596	1571	1060
597	1572	1057
598	1574	1053
599	1575	1050
600	1577	1047
601	1578	1043
602	1579	1040
603	1581	1036
604	1582	1033
605	1583	1029
606	1585	1026
607	1586	1022
608	1587	1019
609	1588	1015
610	1591	1013
611	1592	1009
612	1594	1006
613	1596	1003
614	1598	1000
615	1599	997
616	1601	993
617	1602	990
618	1603	987
619	1605	983
620	1607	981
621	1609	978
622	1611	974
623	1612	971
624	1613	968
625	1615	964
626	1616	961
627	1617	958
628	1618	954
629	1620	951
630	1621	948
631	1622	944
632	1624	941
633	1625	938
634	1626	935
635	1628	931
636	1629	928
637	1630	925
638	1633	922
639	1634	919
640	1635	916
641	1636	912
642	1638	909
643	1639	906
644	1640	903
645	1642	899
646	1643	896
647	1645	893
648	1646	890
649	1647	887
650	1649	884
651	1650	880
652	1651	877
653	1653	874
654	1654	871
655	1656	868
656	1657	865
657	1658	862
658	1659	858
659	1661	855
660	1662	852
661	1663	849
662	1665	846
663	1666	843
664	1668	840
665	1670	837
666	1671	834
667	1672	831
668	1674	828
669	1675	825
670	1677	822
671	1678	819
672	1679	816
673	1681	813
674	1683	810
675	1684	807
676	1686	804
677	1688	801
678	1689	798
679	1691	795
680	1692	793
681	1694	790
